Dataset,FS,Imbalance,Classifier,Precision,Recall,F1,AUC,MCC,AUC_PR
MW1,IG,ADASYN,RF,0.5333,0.4167,0.4324,0.6931,0.3913,0.4571
MW1,IG,ADASYN,XGB,0.4267,0.4,0.3952,0.6875,0.3385,0.4908
MW1,IG,CostSensitive,LR,0.225,0.5,0.3068,0.7092,0.2058,0.4505
MW1,IG,CostSensitive,SVM,0.3083,0.4167,0.3467,0.7042,0.2625,0.4732
MW1,IG,CostSensitive,RF,0.3167,0.35,0.3257,0.7254,0.2627,0.4307
MW1,IG,CostSensitive,XGB,0.3917,0.3667,0.3752,0.704,0.3272,0.4397
MW1,CFS,,LR,0.3,0.1667,0.2133,0.7266,0.1939,0.4914
MW1,CFS,,SVM,0.1667,0.1167,0.1333,0.6897,0.1151,0.4948
MW1,CFS,,RF,0.3,0.1833,0.22,0.723,0.1958,0.4652
MW1,CFS,,XGB,0.375,0.2667,0.3052,0.7119,0.271,0.4478
MW1,CFS,SMOTE,LR,0.2051,0.4667,0.2809,0.736,0.1714,0.4461
MW1,CFS,SMOTE,SVM,0.2619,0.3833,0.3086,0.7099,0.2314,0.5034
MW1,CFS,SMOTE,RF,0.3167,0.3167,0.3138,0.6849,0.2506,0.4484
MW1,CFS,SMOTE,XGB,0.55,0.4333,0.4667,0.723,0.4353,0.5161
MW1,CFS,ADASYN,LR,0.1763,0.4,0.2391,0.7054,0.1114,0.4192
MW1,CFS,ADASYN,SVM,0.3264,0.4667,0.3324,0.7008,0.2485,0.4528
MW1,CFS,ADASYN,RF,0.275,0.2833,0.2733,0.6993,0.2078,0.4086
MW1,CFS,ADASYN,XGB,0.4583,0.3333,0.3667,0.7182,0.3224,0.5227
MW1,CFS,CostSensitive,LR,0.2231,0.5,0.3049,0.7204,0.2029,0.4213
MW1,CFS,CostSensitive,SVM,0.2917,0.45,0.3507,0.7196,0.2648,0.4641
MW1,CFS,CostSensitive,RF,0.3617,0.3833,0.3621,0.7454,0.3028,0.4708
MW1,CFS,CostSensitive,XGB,0.4,0.3333,0.3422,0.6632,0.2868,0.4439
PC1,,,LR,0.475,0.131,0.1938,0.8601,0.2073,0.4545
PC1,,,SVM,0.4,0.0833,0.1357,0.8115,0.1664,0.4273
PC1,,,RF,0.4333,0.2167,0.2789,0.8821,0.2689,0.5027
PC1,,,XGB,0.4667,0.281,0.3469,0.8656,0.3251,0.4427
PC1,,SMOTE,LR,0.2859,0.7071,0.4036,0.8549,0.3679,0.4582
PC1,,SMOTE,SVM,0.2621,0.7095,0.3815,0.8423,0.3487,0.3927
PC1,,SMOTE,RF,0.4975,0.431,0.4302,0.8787,0.3965,0.5049
PC1,,SMOTE,XGB,0.5216,0.4643,0.4778,0.8872,0.4382,0.4993
PC1,,ADASYN,LR,0.2813,0.7571,0.407,0.8508,0.3818,0.4335
PC1,,ADASYN,SVM,0.249,0.7405,0.3705,0.8434,0.3433,0.3538
PC1,,ADASYN,RF,0.5207,0.3976,0.4194,0.8707,0.3898,0.4667
PC1,,ADASYN,XGB,0.5149,0.481,0.4747,0.89,0.4374,0.5015
PC1,,CostSensitive,LR,0.254,0.7238,0.3734,0.8645,0.339,0.4534
PC1,,CostSensitive,SVM,0.2538,0.7738,0.3803,0.8468,0.3577,0.3697
PC1,,CostSensitive,RF,0.5701,0.3976,0.4362,0.8796,0.4145,0.5099
PC1,,CostSensitive,XGB,0.4605,0.331,0.3745,0.8673,0.3359,0.4427
PC1,IG,,LR,0.3417,0.1,0.1466,0.8449,0.1589,0.3991
PC1,IG,,SVM,0.5,0.1,0.1643,0.803,0.2058,0.45
PC1,IG,,RF,0.4183,0.2,0.2634,0.8734,0.2526,0.5024
PC1,IG,,XGB,0.4317,0.2333,0.2975,0.8697,0.2785,0.4599
PC1,IG,SMOTE,LR,0.2305,0.6905,0.3442,0.8563,0.3013,0.4078
PC1,IG,SMOTE,SVM,0.2101,0.7548,0.3252,0.812,0.2947,0.3574
PC1,IG,SMOTE,RF,0.4726,0.5429,0.4964,0.889,0.4505,0.478
PC1,IG,SMOTE,XGB,0.4308,0.4476,0.434,0.8815,0.3852,0.5534
PC1,IG,ADASYN,LR,0.2332,0.719,0.3504,0.8662,0.3133,0.4152
PC1,IG,ADASYN,SVM,0.1995,0.7738,0.3167,0.8191,0.2863,0.351
PC1,IG,ADASYN,RF,0.4701,0.4476,0.4419,0.8705,0.3952,0.4967
PC1,IG,ADASYN,XGB,0.4577,0.431,0.4303,0.8907,0.3859,0.5025
PC1,IG,CostSensitive,LR,0.2225,0.6714,0.3323,0.8539,0.2871,0.4067
PC1,IG,CostSensitive,SVM,0.222,0.7905,0.3449,0.8191,0.3195,0.3394
PC1,IG,CostSensitive,RF,0.5637,0.4452,0.4714,0.898,0.4457,0.5155
PC1,IG,CostSensitive,XGB,0.41,0.35,0.365,0.8608,0.3167,0.4529
PC1,CFS,,LR,0.2583,0.1,0.1422,0.8509,0.1307,0.4027
PC1,CFS,,SVM,0.4,0.1,0.1571,0.8082,0.1779,0.4722
PC1,CFS,,RF,0.4583,0.2333,0.2978,0.8714,0.2892,0.4952
PC1,CFS,,XGB,0.4017,0.25,0.3057,0.8691,0.281,0.4746
PC1,CFS,SMOTE,LR,0.2191,0.6881,0.3298,0.8446,0.2841,0.3935
PC1,CFS,SMOTE,SVM,0.2048,0.6738,0.3118,0.8222,0.2644,0.3292
PC1,CFS,SMOTE,RF,0.4737,0.5452,0.4978,0.8856,0.454,0.5086
PC1,CFS,SMOTE,XGB,0.5011,0.531,0.5042,0.8913,0.4626,0.5238
PC1,CFS,ADASYN,LR,0.216,0.7333,0.3322,0.8448,0.2974,0.3822
PC1,CFS,ADASYN,SVM,0.2196,0.8238,0.3458,0.8323,0.3277,0.3443
PC1,CFS,ADASYN,RF,0.4497,0.5286,0.4785,0.8868,0.4294,0.5225
PC1,CFS,ADASYN,XGB,0.5127,0.531,0.4944,0.8793,0.4598,0.5025
PC1,CFS,CostSensitive,LR,0.2157,0.719,0.3299,0.8491,0.2908,0.4022
PC1,CFS,CostSensitive,SVM,0.2323,0.7905,0.3569,0.8246,0.3323,0.3349
PC1,CFS,CostSensitive,RF,0.5617,0.431,0.4575,0.8965,0.4354,0.5222
PC1,CFS,CostSensitive,XGB,0.3743,0.3167,0.3354,0.8729,0.2937,0.4776
PC2,,,LR,0.0,0.0,0.0,0.7877,-0.0071,0.2402
PC2,,,SVM,0.0,0.0,0.0,0.7302,0.0,0.2807
PC2,,,RF,0.0,0.0,0.0,0.8165,0.0,0.1335
PC2,,,XGB,0.0,0.0,0.0,0.7806,-0.0052,0.1802
PC2,,SMOTE,LR,0.0667,0.55,0.1177,0.7911,0.1437,0.1692
PC2,,SMOTE,SVM,0.091,0.45,0.149,0.7866,0.163,0.2276
PC2,,SMOTE,RF,0.0,0.0,0.0,0.8302,-0.0152,0.1987
PC2,,SMOTE,XGB,0.05,0.05,0.05,0.8169,0.0352,0.1899
PC2,,ADASYN,LR,0.0658,0.55,0.1164,0.7904,0.1424,0.1512
PC2,,ADASYN,SVM,0.0838,0.45,0.1393,0.7819,0.1549,0.2133
PC2,,ADASYN,RF,0.1,0.05,0.0667,0.8162,0.0548,0.2009
PC2,,ADASYN,XGB,0.05,0.05,0.05,0.8478,0.0311,0.2226
PC2,,CostSensitive,LR,0.0685,0.6,0.1221,0.8,0.1555,0.1605
PC2,,CostSensitive,SVM,0.0727,0.45,0.1244,0.7612,0.1375,0.2061
PC2,,CostSensitive,RF,0.1,0.05,0.0667,0.7325,0.0598,0.1822
PC2,,CostSensitive,XGB,0.0,0.0,0.0,0.7963,-0.0088,0.2124
PC2,IG,,LR,0.0,0.0,0.0,0.8331,-0.0019,0.176
PC2,IG,,SVM,0.0,0.0,0.0,0.4096,0.0,0.0784
PC2,IG,,RF,0.0,0.0,0.0,0.7861,0.0,0.1085
PC2,IG,,XGB,0.0,0.0,0.0,0.782,-0.0052,0.1917
PC2,IG,SMOTE,LR,0.058,0.65,0.1058,0.8078,0.1435,0.278
PC2,IG,SMOTE,SVM,0.0777,0.55,0.1327,0.783,0.164,0.2874
PC2,IG,SMOTE,RF,0.095,0.2,0.1286,0.8378,0.1183,0.1888
PC2,IG,SMOTE,XGB,0.0783,0.15,0.1019,0.8286,0.0891,0.1876
PC2,IG,ADASYN,LR,0.0662,0.7,0.1196,0.7962,0.1661,0.1967
PC2,IG,ADASYN,SVM,0.0907,0.65,0.1567,0.8063,0.2033,0.2924
PC2,IG,ADASYN,RF,0.0833,0.15,0.1067,0.8181,0.0908,0.2362
PC2,IG,ADASYN,XGB,0.0583,0.1,0.0733,0.827,0.056,0.162
PC2,IG,CostSensitive,LR,0.0646,0.7,0.1173,0.8378,0.1638,0.2539
PC2,IG,CostSensitive,SVM,0.0838,0.65,0.147,0.8049,0.1916,0.277
PC2,IG,CostSensitive,RF,0.05,0.05,0.05,0.7785,0.0415,0.1567
PC2,IG,CostSensitive,XGB,0.0,0.0,0.0,0.7622,-0.0132,0.2471
PC2,CFS,,LR,0.0,0.0,0.0,0.8468,0.0,0.2284
PC2,CFS,,SVM,0.0,0.0,0.0,0.4466,0.0,0.0804
PC2,CFS,,RF,0.0,0.0,0.0,0.8251,0.0,0.2119
PC2,CFS,,XGB,0.0,0.0,0.0,0.7575,-0.0077,0.1288
PC2,CFS,SMOTE,LR,0.096,0.85,0.1703,0.8695,0.2422,0.2112
PC2,CFS,SMOTE,SVM,0.0963,0.75,0.1686,0.8312,0.2305,0.3394
PC2,CFS,SMOTE,RF,0.07,0.1,0.0786,0.8192,0.0609,0.1509
PC2,CFS,SMOTE,XGB,0.045,0.1,0.0619,0.8342,0.0458,0.1973
PC2,CFS,ADASYN,LR,0.09,0.8,0.1595,0.8695,0.2225,0.2139
PC2,CFS,ADASYN,SVM,0.0974,0.75,0.17,0.8237,0.2314,0.2477
PC2,CFS,ADASYN,RF,0.0167,0.05,0.025,0.8172,0.0098,0.2203
PC2,CFS,ADASYN,XGB,0.0143,0.05,0.0222,0.8704,0.0047,0.2582
PC2,CFS,CostSensitive,LR,0.0849,0.75,0.1497,0.8681,0.2032,0.2558
PC2,CFS,CostSensitive,SVM,0.0943,0.65,0.1612,0.781,0.2042,0.2348
PC2,CFS,CostSensitive,RF,0.0,0.0,0.0,0.7816,-0.0038,0.1345
PC2,CFS,CostSensitive,XGB,0.0,0.0,0.0,0.7779,-0.0126,0.1892
PC3,,,LR,0.6379,0.1434,0.2203,0.8303,0.2448,0.4304
PC3,,,SVM,0.2,0.0143,0.0267,0.7551,0.0501,0.3646
PC3,,,RF,0.4655,0.1505,0.2194,0.8288,0.2087,0.4262
PC3,,,XGB,0.4215,0.2324,0.2905,0.8081,0.2404,0.3994
PC3,,SMOTE,LR,0.2849,0.7176,0.407,0.8246,0.3292,0.4253
PC3,,SMOTE,SVM,0.3009,0.722,0.423,0.8205,0.3492,0.3899
PC3,,SMOTE,RF,0.3464,0.3714,0.3525,0.82,0.2626,0.3855
PC3,,SMOTE,XGB,0.4058,0.3725,0.3861,0.8069,0.3037,0.3875
PC3,,ADASYN,LR,0.2842,0.7473,0.411,0.8174,0.3382,0.4315
PC3,,ADASYN,SVM,0.2975,0.7516,0.4252,0.8141,0.355,0.3783
PC3,,ADASYN,RF,0.3284,0.3648,0.3398,0.8236,0.2481,0.3831
PC3,,ADASYN,XGB,0.4058,0.3659,0.3808,0.8135,0.3012,0.4026
PC3,,CostSensitive,LR,0.2891,0.733,0.4137,0.8321,0.3394,0.4347
PC3,,CostSensitive,SVM,0.3157,0.7978,0.4514,0.8278,0.3926,0.3964
PC3,,CostSensitive,RF,0.4024,0.3802,0.3834,0.8291,0.3033,0.3977
PC3,,CostSensitive,XGB,0.3946,0.3352,0.3603,0.8076,0.2802,0.4067
PC3,IG,,LR,0.6483,0.1352,0.2158,0.8279,0.2466,0.4278
PC3,IG,,SVM,0.0,0.0,0.0,0.6679,-0.0037,0.3417
PC3,IG,,RF,0.4395,0.15,0.2201,0.8142,0.1979,0.4156
PC3,IG,,XGB,0.3623,0.2412,0.2839,0.7934,0.2158,0.3497
PC3,IG,SMOTE,LR,0.3138,0.7626,0.4436,0.834,0.3774,0.4404
PC3,IG,SMOTE,SVM,0.3099,0.8132,0.4482,0.824,0.3913,0.3762
PC3,IG,SMOTE,RF,0.3508,0.4346,0.3833,0.8221,0.2915,0.392
PC3,IG,SMOTE,XGB,0.3533,0.3753,0.3598,0.7968,0.2696,0.3891
PC3,IG,ADASYN,LR,0.2961,0.7929,0.4303,0.8316,0.3668,0.4317
PC3,IG,ADASYN,SVM,0.3065,0.8505,0.4502,0.8232,0.4007,0.3788
PC3,IG,ADASYN,RF,0.3657,0.4489,0.3953,0.8238,0.3076,0.3892
PC3,IG,ADASYN,XGB,0.3723,0.4253,0.3955,0.7956,0.3043,0.3877
PC3,IG,CostSensitive,LR,0.3084,0.7544,0.4368,0.8344,0.3681,0.4323
PC3,IG,CostSensitive,SVM,0.3015,0.7978,0.4369,0.8232,0.3754,0.3919
PC3,IG,CostSensitive,RF,0.3956,0.4275,0.4053,0.8275,0.3209,0.4204
PC3,IG,CostSensitive,XGB,0.3592,0.3374,0.3381,0.799,0.2551,0.3581
PC3,CFS,,LR,0.5417,0.128,0.1955,0.8255,0.2033,0.4128
PC3,CFS,,SVM,0.25,0.0297,0.0525,0.7674,0.0773,0.3861
PC3,CFS,,RF,0.5105,0.156,0.2316,0.8265,0.2274,0.4195
PC3,CFS,,XGB,0.3892,0.2544,0.3035,0.8155,0.2405,0.4126
PC3,CFS,SMOTE,LR,0.2969,0.7407,0.4231,0.8257,0.3504,0.4105
PC3,CFS,SMOTE,SVM,0.2971,0.6995,0.4157,0.8165,0.3397,0.3649
PC3,CFS,SMOTE,RF,0.3941,0.4566,0.4208,0.8338,0.3365,0.4135
PC3,CFS,SMOTE,XGB,0.4203,0.3962,0.4059,0.8162,0.3258,0.4269
PC3,CFS,ADASYN,LR,0.2908,0.7632,0.4201,0.8223,0.3511,0.4115
PC3,CFS,ADASYN,SVM,0.2968,0.7231,0.4192,0.8158,0.3467,0.364
PC3,CFS,ADASYN,RF,0.3778,0.417,0.391,0.8326,0.3062,0.4122
PC3,CFS,ADASYN,XGB,0.372,0.3297,0.3464,0.8151,0.2648,0.4101
PC3,CFS,CostSensitive,LR,0.3023,0.756,0.4308,0.8309,0.362,0.4204
PC3,CFS,CostSensitive,SVM,0.296,0.7533,0.4241,0.8256,0.3541,0.4062
PC3,CFS,CostSensitive,RF,0.3913,0.4181,0.3978,0.8355,0.3153,0.43
PC3,CFS,CostSensitive,XGB,0.4378,0.3808,0.4007,0.8136,0.3265,0.4196
PC4,,,LR,0.7563,0.4007,0.518,0.9032,0.5011,0.6691
PC4,,,SVM,0.8669,0.2699,0.397,0.905,0.4347,0.6781
PC4,,,RF,0.7851,0.3435,0.4654,0.9375,0.4668,0.7034
PC4,,,XGB,0.6888,0.5353,0.594,0.9378,0.5497,0.7146
PC4,,SMOTE,LR,0.4369,0.8039,0.5641,0.9057,0.505,0.6759
PC4,,SMOTE,SVM,0.4236,0.8477,0.5635,0.9103,0.511,0.6517
PC4,,SMOTE,RF,0.6671,0.718,0.6866,0.9348,0.6382,0.6895
PC4,,SMOTE,XGB,0.6354,0.6886,0.657,0.9408,0.6034,0.7142
PC4,,ADASYN,LR,0.4226,0.8484,0.5624,0.9038,0.5103,0.6625
PC4,,ADASYN,SVM,0.4099,0.8644,0.5548,0.9098,0.5043,0.6481
PC4,,ADASYN,RF,0.631,0.6614,0.6405,0.933,0.5847,0.6708
PC4,,ADASYN,XGB,0.6131,0.6265,0.6167,0.9417,0.5571,0.7191
PC4,,CostSensitive,LR,0.4238,0.8314,0.5589,0.9098,0.5035,0.6668
PC4,,CostSensitive,SVM,0.3961,0.8415,0.5375,0.9028,0.4816,0.6368
PC4,,CostSensitive,RF,0.6173,0.7359,0.6682,0.9326,0.6154,0.688
PC4,,CostSensitive,XGB,0.6327,0.6605,0.641,0.9422,0.5856,0.7234
PC4,IG,,LR,0.7311,0.3497,0.4669,0.8935,0.4549,0.6292
PC4,IG,,SVM,0.8707,0.2876,0.4158,0.8849,0.4502,0.6254
PC4,IG,,RF,0.7369,0.4163,0.5277,0.9321,0.5037,0.6894
PC4,IG,,XGB,0.6803,0.5186,0.5819,0.9372,0.5366,0.7263
PC4,IG,SMOTE,LR,0.399,0.8078,0.532,0.8966,0.4697,0.6241
PC4,IG,SMOTE,SVM,0.4107,0.8814,0.5592,0.9034,0.5123,0.6077
PC4,IG,SMOTE,RF,0.6123,0.6895,0.6445,0.9365,0.5887,0.7009
PC4,IG,SMOTE,XGB,0.604,0.6438,0.6201,0.9379,0.5599,0.7166
PC4,IG,ADASYN,LR,0.3905,0.8255,0.5288,0.8906,0.4695,0.619
PC4,IG,ADASYN,SVM,0.3947,0.8922,0.5458,0.9059,0.5001,0.6072
PC4,IG,ADASYN,RF,0.5981,0.6775,0.6325,0.926,0.5736,0.6643
PC4,IG,ADASYN,XGB,0.6501,0.6775,0.6608,0.9383,0.6078,0.7259
PC4,IG,CostSensitive,LR,0.3945,0.8147,0.5296,0.8979,0.4679,0.6242
PC4,IG,CostSensitive,SVM,0.3889,0.8641,0.5355,0.8997,0.4836,0.6085
PC4,IG,CostSensitive,RF,0.6195,0.718,0.6587,0.9314,0.6056,0.669
PC4,IG,CostSensitive,XGB,0.6522,0.6373,0.6407,0.9335,0.5863,0.7078
PC4,CFS,,LR,0.743,0.3157,0.4378,0.8882,0.4363,0.6321
PC4,CFS,,SVM,0.8604,0.2761,0.4037,0.88,0.4383,0.6274
PC4,CFS,,RF,0.772,0.4108,0.5281,0.9313,0.5134,0.6968
PC4,CFS,,XGB,0.6585,0.4958,0.5603,0.9321,0.5114,0.6904
PC4,CFS,SMOTE,LR,0.3867,0.7967,0.5188,0.8915,0.4531,0.6223
PC4,CFS,SMOTE,SVM,0.4203,0.8359,0.5575,0.9039,0.5026,0.6328
PC4,CFS,SMOTE,RF,0.6107,0.7288,0.6615,0.9309,0.6077,0.6678
PC4,CFS,SMOTE,XGB,0.6146,0.6376,0.622,0.9349,0.5645,0.7025
PC4,CFS,ADASYN,LR,0.3781,0.8418,0.5202,0.8928,0.4626,0.6277
PC4,CFS,ADASYN,SVM,0.3966,0.8641,0.5415,0.9041,0.4903,0.6273
PC4,CFS,ADASYN,RF,0.5737,0.6784,0.6195,0.9255,0.5577,0.6226
PC4,CFS,ADASYN,XGB,0.5989,0.6549,0.6225,0.935,0.5632,0.7118
PC4,CFS,CostSensitive,LR,0.3817,0.8196,0.5189,0.8921,0.457,0.6257
PC4,CFS,CostSensitive,SVM,0.3995,0.8193,0.5349,0.8989,0.4746,0.6278
PC4,CFS,CostSensitive,RF,0.606,0.7124,0.6506,0.9302,0.5953,0.6785
PC4,CFS,CostSensitive,XGB,0.6231,0.6101,0.6113,0.9354,0.5539,0.7048
PC5,,,LR,0.6389,0.2529,0.3565,0.7407,0.2828,0.535
PC5,,,SVM,0.681,0.1701,0.2669,0.7317,0.2433,0.5422
PC5,,,RF,0.6753,0.4077,0.5059,0.7984,0.3978,0.6351
PC5,,,XGB,0.5972,0.463,0.5183,0.7779,0.3735,0.6125
PC5,,SMOTE,LR,0.4449,0.6752,0.5358,0.7409,0.3226,0.5341
PC5,,SMOTE,SVM,0.4388,0.688,0.5354,0.7433,0.3196,0.509
PC5,,SMOTE,RF,0.5835,0.5584,0.5686,0.8068,0.412,0.636
PC5,,SMOTE,XGB,0.5866,0.5244,0.552,0.7889,0.396,0.6253
PC5,,ADASYN,LR,0.4273,0.6858,0.526,0.7367,0.3032,0.5318
PC5,,ADASYN,SVM,0.4386,0.7071,0.5409,0.7464,0.3272,0.5063
PC5,,ADASYN,RF,0.5642,0.5839,0.5722,0.8042,0.4075,0.6316
PC5,,ADASYN,XGB,0.5852,0.5436,0.563,0.7897,0.4058,0.6208
PC5,,CostSensitive,LR,0.433,0.6625,0.523,0.7402,0.3027,0.534
PC5,,CostSensitive,SVM,0.445,0.6922,0.5413,0.7466,0.3288,0.5133
PC5,,CostSensitive,RF,0.5634,0.5777,0.5696,0.8022,0.4039,0.6325
PC5,,CostSensitive,XGB,0.5598,0.5414,0.5491,0.7826,0.3824,0.6145
PC5,IG,,LR,0.6432,0.1763,0.276,0.703,0.2349,0.5004
PC5,IG,,SVM,0.6609,0.153,0.2477,0.6861,0.2255,0.5064
PC5,IG,,RF,0.6097,0.3887,0.4725,0.778,0.3451,0.6084
PC5,IG,,XGB,0.5847,0.4311,0.4929,0.7668,0.3472,0.6024
PC5,IG,SMOTE,LR,0.4449,0.5713,0.4956,0.7235,0.2809,0.5219
PC5,IG,SMOTE,SVM,0.4432,0.5817,0.5017,0.7098,0.2821,0.4803
PC5,IG,SMOTE,RF,0.5416,0.5055,0.5204,0.7781,0.3487,0.5928
PC5,IG,SMOTE,XGB,0.5479,0.5245,0.5341,0.771,0.3633,0.5938
PC5,IG,ADASYN,LR,0.4196,0.6121,0.4929,0.7127,0.2659,0.5009
PC5,IG,ADASYN,SVM,0.4349,0.637,0.5163,0.7141,0.2927,0.4813
PC5,IG,ADASYN,RF,0.5045,0.5416,0.5206,0.7786,0.3323,0.5898
PC5,IG,ADASYN,XGB,0.537,0.5289,0.5318,0.761,0.3573,0.5826
PC5,IG,CostSensitive,LR,0.4342,0.5799,0.4951,0.7085,0.271,0.499
PC5,IG,CostSensitive,SVM,0.4365,0.5584,0.4889,0.7135,0.2655,0.479
PC5,IG,CostSensitive,RF,0.5258,0.5501,0.5366,0.7798,0.3583,0.6015
PC5,IG,CostSensitive,XGB,0.5361,0.5436,0.5382,0.7672,0.3633,0.5999
PC5,CFS,,LR,0.6034,0.1976,0.2924,0.7154,0.2292,0.5204
PC5,CFS,,SVM,0.6725,0.1871,0.2884,0.6889,0.2543,0.5179
PC5,CFS,,RF,0.6593,0.4225,0.5121,0.7984,0.3968,0.6323
PC5,CFS,,XGB,0.6199,0.482,0.5397,0.7793,0.402,0.6168
PC5,CFS,SMOTE,LR,0.4298,0.5988,0.4996,0.7196,0.2734,0.52
PC5,CFS,SMOTE,SVM,0.4341,0.5797,0.4948,0.7188,0.2709,0.4994
PC5,CFS,SMOTE,RF,0.5811,0.5393,0.5578,0.8038,0.4012,0.6279
PC5,CFS,SMOTE,XGB,0.5825,0.5266,0.5506,0.7784,0.3941,0.6078
PC5,CFS,ADASYN,LR,0.4228,0.6328,0.5064,0.7138,0.2767,0.5115
PC5,CFS,ADASYN,SVM,0.4298,0.5989,0.4995,0.719,0.2727,0.4966
PC5,CFS,ADASYN,RF,0.5455,0.5458,0.5442,0.7952,0.3732,0.6149
PC5,CFS,ADASYN,XGB,0.5776,0.5458,0.5597,0.7883,0.4008,0.6092
PC5,CFS,CostSensitive,LR,0.4363,0.6137,0.5093,0.7156,0.2866,0.5177
PC5,CFS,CostSensitive,SVM,0.4403,0.5861,0.5022,0.7207,0.2805,0.5019
PC5,CFS,CostSensitive,RF,0.557,0.5668,0.5609,0.794,0.3932,0.6176
PC5,CFS,CostSensitive,XGB,0.5562,0.5287,0.5412,0.778,0.3748,0.6075
