Dataset,FS,Imbalance,Classifier,Precision,Recall,F1,AUC,MCC,AUC_PR
JM1,IG,ADASYN,LR,0.3479,0.5526,0.4265,0.6681,0.233,0.3929
JM1,IG,ADASYN,SVM,0.3479,0.555,0.4275,0.683,0.234,0.3681
JM1,IG,ADASYN,RF,0.4281,0.3708,0.397,0.6829,0.2482,0.392
JM1,IG,ADASYN,XGB,0.4164,0.3062,0.3515,0.669,0.2113,0.3851
JM1,IG,CostSensitive,LR,0.3626,0.4952,0.4183,0.671,0.2313,0.3916
JM1,IG,CostSensitive,SVM,0.3672,0.4904,0.4196,0.6855,0.235,0.3757
JM1,IG,CostSensitive,RF,0.4218,0.3852,0.4023,0.6761,0.2487,0.3975
JM1,IG,CostSensitive,XGB,0.3613,0.4199,0.388,0.6472,0.2053,0.3703
JM1,CFS,,LR,0.5668,0.0933,0.1599,0.6693,0.1637,0.3923
JM1,CFS,,SVM,0.5952,0.0807,0.1418,0.6123,0.1603,0.363
JM1,CFS,,RF,0.518,0.189,0.2766,0.6821,0.2148,0.4005
JM1,CFS,,XGB,0.4798,0.2016,0.2835,0.6697,0.2028,0.3801
JM1,CFS,SMOTE,LR,0.3635,0.5083,0.4238,0.6713,0.2372,0.395
JM1,CFS,SMOTE,SVM,0.3761,0.4689,0.417,0.6846,0.2373,0.3753
JM1,CFS,SMOTE,RF,0.4276,0.3559,0.3881,0.6891,0.2415,0.4013
JM1,CFS,SMOTE,XGB,0.42,0.3212,0.3634,0.6774,0.2213,0.386
JM1,CFS,ADASYN,LR,0.3442,0.5574,0.4254,0.6693,0.2301,0.3937
JM1,CFS,ADASYN,SVM,0.3494,0.5562,0.429,0.6785,0.2362,0.3635
JM1,CFS,ADASYN,RF,0.4235,0.3672,0.3927,0.6848,0.2425,0.3985
JM1,CFS,ADASYN,XGB,0.4132,0.3116,0.3545,0.6705,0.2115,0.3771
JM1,CFS,CostSensitive,LR,0.3615,0.5024,0.4203,0.6723,0.2329,0.3949
JM1,CFS,CostSensitive,SVM,0.3659,0.4868,0.4175,0.6839,0.2327,0.3706
JM1,CFS,CostSensitive,RF,0.4228,0.3774,0.3985,0.6896,0.2464,0.4022
JM1,CFS,CostSensitive,XGB,0.3677,0.436,0.3987,0.6604,0.2174,0.3699
KC1,,,LR,0.6372,0.2036,0.3068,0.6872,0.2539,0.5099
KC1,,,SVM,0.6274,0.1561,0.2494,0.6582,0.2177,0.4829
KC1,,,RF,0.5776,0.3156,0.4058,0.7058,0.2902,0.5142
KC1,,,XGB,0.5189,0.3662,0.4268,0.6793,0.2743,0.4947
KC1,,SMOTE,LR,0.4311,0.5704,0.4889,0.6836,0.2712,0.5079
KC1,,SMOTE,SVM,0.4672,0.5062,0.4823,0.6736,0.2814,0.4651
KC1,,SMOTE,RF,0.4939,0.4234,0.4532,0.6966,0.2778,0.5016
KC1,,SMOTE,XGB,0.5078,0.4237,0.4598,0.6818,0.2903,0.5032
KC1,,ADASYN,LR,0.3929,0.6374,0.4848,0.6786,0.2493,0.5048
