Dataset,FS,Imbalance,Classifier,Precision,Recall,F1,AUC
PC5,None,ADASYN,SVM,0.4386,0.7071,0.5409,0.7464
PC5,None,ADASYN,RF,0.5642,0.5839,0.5722,0.8042
PC5,None,ADASYN,XGB,0.5865,0.5605,0.5719,0.7911
PC5,IG,None,LR,0.6496,0.1828,0.2815,0.7143
PC5,IG,None,SVM,0.6694,0.1488,0.2414,0.6629
PC5,IG,None,RF,0.609,0.3758,0.4609,0.7781
PC5,IG,None,XGB,0.5778,0.4586,0.5093,0.7704
PC5,IG,SMOTE,LR,0.4457,0.5923,0.5068,0.7146
PC5,IG,SMOTE,SVM,0.4444,0.5481,0.4882,0.7219
PC5,IG,SMOTE,RF,0.5305,0.5268,0.5268,0.7802
PC5,IG,SMOTE,XGB,0.5065,0.5119,0.5081,0.7512
PC5,IG,ADASYN,LR,0.4349,0.6307,0.5139,0.7178
PC5,IG,ADASYN,SVM,0.4339,0.6008,0.502,0.7114
PC5,IG,ADASYN,RF,0.5249,0.548,0.5344,0.7814
PC5,IG,ADASYN,XGB,0.524,0.5395,0.5303,0.7574
PC5,CFS,None,LR,0.6034,0.1976,0.2924,0.7154
PC5,CFS,None,SVM,0.6725,0.1871,0.2884,0.6889
PC5,CFS,None,RF,0.6593,0.4225,0.5121,0.7984
PC5,CFS,None,XGB,0.611,0.4755,0.5323,0.7823
PC5,CFS,SMOTE,LR,0.4298,0.5988,0.4996,0.7196
PC5,CFS,SMOTE,SVM,0.4341,0.5797,0.4948,0.7188
PC5,CFS,SMOTE,RF,0.5811,0.5393,0.5578,0.8038
PC5,CFS,SMOTE,XGB,0.5627,0.5159,0.537,0.7785
PC5,CFS,ADASYN,LR,0.4231,0.6243,0.5037,0.714
PC5,CFS,ADASYN,SVM,0.4266,0.5946,0.4958,0.7188
PC5,CFS,ADASYN,RF,0.5526,0.5394,0.5436,0.7956
PC5,CFS,ADASYN,XGB,0.5495,0.501,0.5231,0.7703
